dataset_id,group,metric,method_code,method_label,comparison_label,gap_raw,gap_pct
JAIN,classf,MSI,vns,VNS,VNS vs DBSCAN,0.033547218877557294,7.253461934470544
MARONNA,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.07669860018925545,-12.764922520499736
NEW-THYROID,classf,MSI,vns,VNS,VNS vs DBSCAN,0.030152302125783015,3.748855473929563
NUMBERS2,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.2024974273968806,-30.18322864890249
OUTLIERS,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.00229828735549098,-0.4085033316547973
PARKINSONS,clust,MSI,vns,VNS,VNS vs DBSCAN,0.18444776243796585,42.433785891604394
PATHBASED,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.1327803684123875,-22.846914115310135
PIMA-INDIANS,classf,MSI,vns,VNS,VNS vs DBSCAN,0.008701324098840668,2.1587629114379427
R15,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.17924469893944506,-22.350687087374734
RUSPINI,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.06373145896064203,-7.514268227954202
SEEDS,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.10915621172330453,-19.415137729267574
SONAR,clust,MSI,vns,VNS,VNS vs DBSCAN,0.0793636729159129,19.251896097638117
SPHERICAL4D3C,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.21285950030012246,-36.18590814757734
SPIRAL,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.5152303799463929,-58.56881400051617
SPRDESP,clust,MSI,vns,VNS,VNS vs DBSCAN,0.22593748381075723,46.87673030292851
SYNTHETICCONTROL,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.027882701526659392,-6.271656866295642
TRIPADVISOR,clust,MSI,vns,VNS,VNS vs DBSCAN,0.06627943745342091,20.756395054813538
UNIFORM400,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.2493937467117293,-44.698726024181546
UNIFORM700,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.6187480906917529,-66.11276343500349
VOWEL2,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.12900513154250515,-25.74412501931495
WAVEFORM21,clust,MSI,vns,VNS,VNS vs DBSCAN,-0.12554382113674808,-35.459966716452676
WDBC,classf,MSI,vns,VNS,VNS vs DBSCAN,-0.2043018618790644,-26.19533686083563
WINE,classf,MSI,vns,VNS,VNS vs DBSCAN,0.014510381593388466,2.5002289709234526
YEAST,classf,MSI,vns,VNS,VNS vs DBSCAN,0.008764163579832007,1.6571527341782053
AGGREGATION,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.44793689456327335,252.5535925074748
COMPOUND,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,-0.08591627654435552,-10.542618029810132
