dataset_id,group,q_learning,seed,k,msi,ari,internal_cost,eval_count,cache_hits
WINE,classf,True,0,2,0.5575370633828088,0.0011629658816189178,-0.6245,20,0
WINE,classf,True,1,2,0.5399116709355112,0.0013987320399025675,-0.6331,20,0
WINE,classf,True,2,2,-0.0753437275967574,0.0005014734013711494,-0.6232,20,0
WINE,classf,True,3,3,0.602981963422948,0.007726751177617657,-0.6186,20,0
WINE,classf,True,4,3,0.6114302425750754,0.0051499978369807875,-0.636,20,0
YEAST,classf,False,0,2,0.6594774016165937,-0.0010930594992844419,-0.6686,20,0
YEAST,classf,False,1,2,0.5859984636207002,-0.0004405207445110595,-0.6104,20,0
YEAST,classf,False,2,2,0.5145861313980709,0.008010169832703817,-0.4964,20,0
YEAST,classf,False,3,2,0.7086626192595258,-0.000709211122096257,-0.7252,20,0
YEAST,classf,False,4,2,0.6343282401768385,-0.0013073427562876356,-0.6429,20,0
YEAST,classf,True,0,2,0.5588995279500472,0.011581607207443287,-0.5601,20,0
YEAST,classf,True,1,2,0.655689575097971,-0.0010950260822101686,-0.6646,20,0
YEAST,classf,True,2,2,0.6549859423617945,-0.0010980970336385589,-0.6656,20,0
YEAST,classf,True,3,2,0.6632080782697398,-0.0010394919424127726,-0.6823,20,0
YEAST,classf,True,4,2,0.713358003127515,-0.0007018483994651611,-0.7302,20,0
