dataset_id,group,metaheuristic,msi_median,ari_median,k_median,eval_median,time_to_best_median
CONCRETEDATA,clust,ils,0.35315,,3.0,20.0,52.635000000000005
CONCRETEDATA,clust,vns,0.36895,,3.0,20.0,56.765
DBLCA,clust,brkga,0.5100122131543136,,3.0,20.0,55.195
DBLCA,clust,ils,0.504867210839182,,3.0,20.0,47.22
DBLCA,clust,vns,0.5075471812641829,,3.0,20.0,42.71
DOWJONES,clust,brkga,0.6349489035246159,,2.0,20.0,32.155
DOWJONES,clust,ils,0.6226149165888368,,2.0,20.0,46.715
DOWJONES,clust,vns,0.6329442617030412,,2.0,20.0,46.099999999999994
ECOLI,classf,brkga,0.3611895900073235,0.0301656421762831,2.0,20.0,57.58
ECOLI,classf,ils,0.40897627910404727,0.5383070965230354,3.0,20.0,40.69
ECOLI,classf,vns,0.4254352461902393,0.6163842525743656,3.0,20.0,51.375
FACE,clust,brkga,0.5458864979383649,,4.0,20.0,52.03
FACE,clust,ils,0.544541589632493,,4.0,20.0,40.3
FACE,clust,vns,0.5505854973250809,,5.0,20.0,41.635
FLAME,classf,brkga,0.40417723844769904,0.5992535565651813,3.0,20.0,57.415
FLAME,classf,ils,0.41858614590452325,0.6194900591470035,3.0,20.0,53.144999999999996
FLAME,classf,vns,0.4223766489406036,0.42669369803687757,3.0,20.0,48.23
FORESTFIRES,clust,brkga,0.5058128771183832,,2.0,20.0,52.019999999999996
FORESTFIRES,clust,ils,0.5296227034043078,,2.0,20.0,53.26
FORESTFIRES,clust,vns,0.5543400172598241,,2.0,20.0,31.02
GAMMA400,clust,brkga,0.5893219201453146,,2.0,20.0,56.93
GAMMA400,clust,ils,0.5917260465974036,,2.0,20.0,31.674999999999997
GAMMA400,clust,vns,0.5873464797327643,,2.0,20.0,48.28
GAUSS9,clust,brkga,0.31675,,4.5,20.0,27.725
GAUSS9,clust,ils,0.32918341397463946,,5.5,20.0,51.745000000000005
GAUSS9,clust,vns,0.3228101308216624,,6.5,20.0,42.7
GLASS,classf,brkga,0.6496982025924511,0.1856307626895064,2.5,20.0,32.205
GLASS,classf,ils,0.6434133494316367,0.1960794525485015,3.0,20.0,49.285
GLASS,classf,vns,0.6549673972198437,0.18711456480560565,3.0,20.0,48.97
HABERMAN,classf,brkga,0.5936867825276779,0.0367307347667924,2.0,20.0,55.245000000000005
HABERMAN,classf,ils,0.5818968618163332,0.0355192012539689,2.0,20.0,48.55
HABERMAN,classf,vns,0.5893078880526343,0.035992676079629096,2.0,20.0,33.245
HAYES-ROTH,clust,brkga,0.45033708918069737,,2.0,20.0,53.18
HAYES-ROTH,clust,ils,0.4341791086917128,,2.0,20.0,52.665
HAYES-ROTH,clust,vns,0.4883496212102511,,2.0,20.0,41.675
INDIAN,clust,brkga,0.7067716903220174,,2.0,20.0,48.865
INDIAN,clust,ils,0.7607027869023097,,2.0,20.0,46.82
INDIAN,clust,vns,0.7594267403073225,,2.0,20.0,44.855000000000004
IONOSPHERE,classf,brkga,0.5483413084938709,0.13921145633323523,3.0,20.0,55.265
IONOSPHERE,classf,ils,0.5611254042001955,0.14002864350275054,3.0,20.0,50.62
IONOSPHERE,classf,vns,0.564858213200909,0.13917964026471785,3.0,20.0,48.145
IRIS,classf,brkga,0.5552687286188432,0.5273807523010332,3.0,20.0,55.87
IRIS,classf,ils,0.6096188829172617,0.5987836224867911,2.0,20.0,47.025000000000006
IRIS,classf,vns,0.632506899650526,0.6271414714264989,2.0,20.0,50.615
JAIN,classf,brkga,0.4959746509386066,0.30165749265917946,3.0,20.0,33.760000000000005
JAIN,classf,ils,0.49778853346591784,0.3273132391864353,4.0,20.0,53.370000000000005
JAIN,classf,vns,0.49604663199408905,0.3165491826112249,4.0,20.0,59.364999999999995
MARONNA,clust,brkga,0.5672237337701138,,4.0,20.0,33.015
MARONNA,clust,ils,0.6335044272604042,,4.0,20.0,43.93000000000001
MARONNA,clust,vns,0.524155812096302,,3.0,20.0,48.12
NEW-THYROID,classf,brkga,0.8205502724982097,0.0020450142456164,3.0,20.0,47.144999999999996
NEW-THYROID,classf,ils,0.8354551992963032,0.0045487529840013,3.0,20.0,33.795
NEW-THYROID,classf,vns,0.8344591721950436,0.002812716695609,3.0,20.0,34.08
NUMBERS2,clust,brkga,0.43074907300186693,,8.5,20.0,34.315
NUMBERS2,clust,ils,0.48290302036617705,,8.0,20.0,57.75
NUMBERS2,clust,vns,0.4683964314158139,,9.0,20.0,55.215
OUTLIERS,clust,brkga,0.5602633694957954,,2.0,20.0,52.76
OUTLIERS,clust,ils,0.5574536166285415,,2.0,20.0,50.894999999999996
OUTLIERS,clust,vns,0.5603133677761569,,2.0,20.0,42.94
PARKINSONS,clust,brkga,0.617104637591224,,2.0,20.0,40.864999999999995
PARKINSONS,clust,ils,0.6218161535182785,,2.0,20.0,48.195
PARKINSONS,clust,vns,0.6191197073573542,,2.0,20.0,37.515
PATHBASED,classf,brkga,0.4378795479043973,0.3764199860483515,4.0,20.0,40.765
PATHBASED,classf,ils,0.4423829537964369,0.39599802606533774,4.0,20.0,44.66
PATHBASED,classf,vns,0.4483938231753024,0.40062514763708895,4.0,20.0,50.735
PIMA-INDIANS,classf,brkga,0.39576008940876195,0.0356228645832799,2.0,20.0,33.78
PIMA-INDIANS,classf,ils,0.40650662573757373,0.13586591472374804,3.0,20.0,52.125
PIMA-INDIANS,classf,vns,0.41177125145111093,0.13793307495606938,3.0,20.0,54.900000000000006
R15,classf,brkga,0.6441827196972819,0.2614956776847088,8.0,20.0,31.17
R15,classf,ils,0.6480624458890667,0.40270440980951816,10.0,20.0,50.93
R15,classf,vns,0.6227203513461691,0.6444657086399758,11.0,20.0,53.035
RUSPINI,clust,brkga,0.7782812661954008,,4.0,20.0,32.765
RUSPINI,clust,ils,0.7824314142951255,,4.0,20.0,35.93
RUSPINI,clust,vns,0.7844078012743263,,4.0,20.0,44.105000000000004
SEEDS,classf,brkga,0.4639453192500076,0.5939100762972438,3.0,20.0,54.56
SEEDS,classf,ils,0.4957563015375218,0.6514772954482408,3.0,20.0,60.12
SEEDS,classf,vns,0.4530659741062389,0.6097695368313079,3.0,20.0,53.665
SONAR,clust,brkga,0.48095020707780245,,2.0,20.0,58.765
SONAR,clust,ils,0.4800227452467919,,2.0,20.0,46.54
SONAR,clust,vns,0.4916018883800483,,2.0,20.0,51.135000000000005
SPHERICAL4D3C,clust,brkga,0.3760610774510395,,4.0,20.0,15.29
SPHERICAL4D3C,clust,ils,0.3936742140515632,,4.0,20.0,40.51
SPHERICAL4D3C,clust,vns,0.3753791572237277,,4.0,20.0,15.83
SPIRAL,classf,brkga,0.35642067647575604,-0.00492325189859355,4.0,20.0,58.395
SPIRAL,classf,ils,0.3641154816833456,0.020329214587134402,4.0,20.0,47.325
SPIRAL,classf,vns,0.3644705133342055,0.0105836575734753,5.0,20.0,53.205
SPRDESP,clust,brkga,0.4950574765812391,,2.0,20.0,12.184999999999999
SPRDESP,clust,ils,0.7016537346096955,,2.0,20.0,54.565
SPRDESP,clust,vns,0.7079196578034735,,2.0,20.0,50.615
SYNTHETICCONTROL,clust,brkga,0.3441260156674198,,3.0,20.0,15.629999999999999
SYNTHETICCONTROL,clust,ils,0.3495478713583683,,5.0,20.0,23.564999999999998
SYNTHETICCONTROL,clust,vns,0.4167,,3.0,20.0,56.68
TRIPADVISOR,clust,brkga,0.3503122742188243,,2.0,20.0,11.33
TRIPADVISOR,clust,ils,0.3100580693669832,,3.0,20.0,16.64
TRIPADVISOR,clust,vns,0.3856,,3.0,20.0,39.315
UNIFORM400,clust,brkga,0.3388,,3.0,20.0,44.16
UNIFORM400,clust,ils,0.3304,,4.0,20.0,29.07
UNIFORM400,clust,vns,0.30855,,4.0,20.0,35.56
UNIFORM700,clust,brkga,0.30515000000000003,,4.0,20.0,53.56
UNIFORM700,clust,ils,0.33499999999999996,,5.0,20.0,58.87
UNIFORM700,clust,vns,0.31715000000000004,,5.0,20.0,61.6
VOWEL2,clust,brkga,0.37885,,3.0,20.0,41.54
VOWEL2,clust,ils,0.38125,,3.5,20.0,58.855000000000004
VOWEL2,clust,vns,0.3721,,4.0,20.0,61.69
WAVEFORM21,clust,brkga,0.2019324613479625,,13.0,20.0,58.51
WAVEFORM21,clust,ils,0.2232557356973981,,12.5,20.0,61.290000000000006
WAVEFORM21,clust,vns,0.22849999999999998,,13.5,20.0,64.22
WDBC,classf,brkga,0.5435931745513389,0.0014048492979669,2.0,20.0,43.8
WDBC,classf,ils,0.5785120149388558,0.0021066190773813,2.0,20.0,44.989999999999995
WDBC,classf,vns,0.5756150483879454,0.00221793057325585,2.0,20.0,47.39
WINE,classf,brkga,0.5415401559539017,0.00624276781900645,3.0,20.0,46.629999999999995
WINE,classf,ils,0.5876969246295454,0.00657866248856165,3.0,20.0,52.144999999999996
WINE,classf,vns,0.5948724909096843,0.0067862035426446005,3.0,20.0,44.33
YEAST,classf,brkga,0.4935567809100878,-0.0006902356879985,2.0,20.0,38.26
YEAST,classf,ils,0.5377,0.007,2.0,20.0,41.21
YEAST,classf,vns,0.5376329515360745,0.006762847892004899,2.0,20.0,53.4
