dataset_id,group,quadrat_filter,msi_space,seed,k,msi,ari,internal_cost
RUSPINI,clust,True,mds,2,4,0.7911094361649816,,-0.791092689473349
RUSPINI,clust,True,mds,3,4,0.796295837099916,,-0.7955244081485311
RUSPINI,clust,True,mds,4,2,0.43385000364168697,,-0.7954046843658334
RUSPINI,clust,False,feature,0,4,0.7938731758477058,,-0.7946419375784701
RUSPINI,clust,False,feature,1,4,0.7905957165788122,,-0.7911568690872947
RUSPINI,clust,False,feature,2,4,0.7938731758477058,,-0.7946419375784701
RUSPINI,clust,False,feature,3,4,0.796295837099916,,-0.796368367664098
RUSPINI,clust,False,feature,4,4,0.7938731758477058,,-0.7946419375784701
RUSPINI,clust,False,mds,0,2,0.43842242989315533,,-0.7950283440023654
RUSPINI,clust,False,mds,1,4,0.7904830040325008,,-0.789430342131998
RUSPINI,clust,False,mds,2,4,0.7904830040325008,,-0.789430342131998
RUSPINI,clust,False,mds,3,4,0.7935189130575678,,-0.7912273167074324
RUSPINI,clust,False,mds,4,3,0.5899925462226571,,-0.8002674892189292
SONAR,clust,True,feature,0,2,0.5414631847141282,,-0.3950821962866627
SONAR,clust,True,feature,1,2,0.534496757377854,,-0.3976002879315732
SONAR,clust,True,feature,2,2,0.5298470956755617,,-0.3894570393978172
SONAR,clust,True,feature,3,2,0.47824542331894077,,-0.3602117002678967
SONAR,clust,True,feature,4,2,0.5570638437229936,,-0.41257696713858005
SONAR,clust,True,mds,0,2,0.5015232238926995,,-0.5086992860614328
SONAR,clust,True,mds,1,2,0.5646244304652906,,-0.5845380324761464
SONAR,clust,True,mds,2,2,0.5164823450104078,,-0.5004308530445342
SONAR,clust,True,mds,3,2,0.48830975306552293,,-0.4884253701727266
SONAR,clust,True,mds,4,2,0.5562760548613859,,-0.5704047490142851
SONAR,clust,False,feature,0,2,0.49545244924308757,,-0.37334800160224957
SONAR,clust,False,feature,1,2,0.47327763682700213,,-0.3505405573927137
SONAR,clust,False,feature,2,2,0.5315906895570288,,-0.3957115838788776
SONAR,clust,False,feature,3,2,0.5392321092945823,,-0.40159834526763616
SONAR,clust,False,feature,4,2,0.5315906895570288,,-0.3957115838788776
SONAR,clust,False,mds,0,2,0.5518376364107939,,-0.5683973730571196
SONAR,clust,False,mds,1,2,0.5214059924033156,,-0.5256563929660446
SONAR,clust,False,mds,2,2,0.5159715834129213,,-0.4987179140861312
SONAR,clust,False,mds,3,2,0.5347994656430585,,-0.5226320271872963
SONAR,clust,False,mds,4,2,0.5618894739825716,,-0.5615724619488084
TRIPADVISOR,clust,True,feature,0,2,0.48243758415239546,,-0.4447467892210622
TRIPADVISOR,clust,True,feature,1,2,0.47045970520338454,,-0.44006272294954335
TRIPADVISOR,clust,True,feature,2,3,0.29576971736881463,,-0.23941915058545113
TRIPADVISOR,clust,True,feature,3,2,0.37262010456620503,,-0.24407631104162805
TRIPADVISOR,clust,True,feature,4,2,0.475538701442733,,-0.4421834422658826
TRIPADVISOR,clust,True,mds,0,2,0.425175335989512,,-0.5214788342274281
TRIPADVISOR,clust,True,mds,1,2,0.410995842183834,,-0.50254974832929
TRIPADVISOR,clust,True,mds,2,2,0.46793445401219996,,-0.41514593187975934
TRIPADVISOR,clust,True,mds,3,2,0.40007553026835996,,-0.4502970059996161
TRIPADVISOR,clust,True,mds,4,2,0.4090934814991369,,-0.5025447233795757
TRIPADVISOR,clust,False,feature,0,2,0.46793445401219996,,-0.4392108264435609
TRIPADVISOR,clust,False,feature,1,2,0.4717613609930699,,-0.44063684582707485
TRIPADVISOR,clust,False,feature,2,2,0.4486345916002891,,-0.3931701370302178
TRIPADVISOR,clust,False,feature,3,2,0.46083345178140367,,-0.36446872165533123
TRIPADVISOR,clust,False,feature,4,2,0.4860452311086292,,-0.4460929849034358
TRIPADVISOR,clust,False,mds,0,2,0.41364802693892777,,-0.5020494815709168
